07:44:29 [Test worker] INFO  listener.WebEventListener - Before navigating to URL: 'https://ilcarro.xyz/search'
07:44:31 [Test worker] INFO  listener.WebEventListener - Navigated to URL: 'https://ilcarro.xyz/search'
07:44:31 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.xpath: //a[text()=' Logout ']
07:44:41 [Test worker] INFO  listener.WebEventListener - Found Element By: By.xpath: //a[text()=' Logout ']
07:44:41 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.xpath: //a[text()=' Logout ']
07:44:51 [Test worker] INFO  listener.WebEventListener - Found Element By: By.xpath: //a[text()=' Logout ']
07:44:51 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.xpath: //a[text()=' Log in ']
07:44:51 [Test worker] INFO  listener.WebEventListener - Found Element By: By.xpath: //a[text()=' Log in ']
07:44:51 [Test worker] INFO  listener.WebEventListener - trying to click on: [[ChromeDriver: chrome on WINDOWS (d738d3c6da032203f0316543ed8f0e86)] -> xpath: //a[text()=' Log in ']]
07:44:51 [Test worker] INFO  listener.WebEventListener - Clicked on: [[ChromeDriver: chrome on WINDOWS (d738d3c6da032203f0316543ed8f0e86)] -> xpath: //a[text()=' Log in ']]
07:44:51 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.id: email
07:44:52 [Test worker] INFO  listener.WebEventListener - Found Element By: By.id: email
07:44:52 [Test worker] INFO  listener.WebEventListener - trying to click on: [[ChromeDriver: chrome on WINDOWS (d738d3c6da032203f0316543ed8f0e86)] -> id: email]
07:44:52 [Test worker] INFO  listener.WebEventListener - Clicked on: [[ChromeDriver: chrome on WINDOWS (d738d3c6da032203f0316543ed8f0e86)] -> id: email]
07:44:52 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.id: email
07:44:52 [Test worker] INFO  listener.WebEventListener - Found Element By: By.id: email
07:44:52 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.id: email
07:44:52 [Test worker] INFO  listener.WebEventListener - Found Element By: By.id: email
07:44:52 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.id: password
07:44:52 [Test worker] INFO  listener.WebEventListener - Found Element By: By.id: password
07:44:52 [Test worker] INFO  listener.WebEventListener - trying to click on: [[ChromeDriver: chrome on WINDOWS (d738d3c6da032203f0316543ed8f0e86)] -> id: password]
07:44:52 [Test worker] INFO  listener.WebEventListener - Clicked on: [[ChromeDriver: chrome on WINDOWS (d738d3c6da032203f0316543ed8f0e86)] -> id: password]
07:44:52 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.id: password
07:44:52 [Test worker] INFO  listener.WebEventListener - Found Element By: By.id: password
07:44:52 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.id: password
07:44:52 [Test worker] INFO  listener.WebEventListener - Found Element By: By.id: password
07:44:52 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.cssSelector: button[type='submit']
07:44:52 [Test worker] INFO  listener.WebEventListener - Found Element By: By.cssSelector: button[type='submit']
07:44:52 [Test worker] INFO  listener.WebEventListener - trying to click on: [[ChromeDriver: chrome on WINDOWS (d738d3c6da032203f0316543ed8f0e86)] -> css selector: button[type='submit']]
07:44:52 [Test worker] INFO  listener.WebEventListener - Clicked on: [[ChromeDriver: chrome on WINDOWS (d738d3c6da032203f0316543ed8f0e86)] -> css selector: button[type='submit']]
07:44:52 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.cssSelector: button[type='button']
07:44:53 [Test worker] INFO  listener.WebEventListener - Found Element By: By.cssSelector: button[type='button']
07:44:53 [Test worker] INFO  listener.WebEventListener - trying to click on: [[ChromeDriver: chrome on WINDOWS (d738d3c6da032203f0316543ed8f0e86)] -> css selector: button[type='button']]
07:44:53 [Test worker] INFO  listener.WebEventListener - Clicked on: [[ChromeDriver: chrome on WINDOWS (d738d3c6da032203f0316543ed8f0e86)] -> css selector: button[type='button']]
07:44:55 [Test worker] INFO  listener.WebEventListener - Trying to find Element By: By.xpath: //a[text()=' Let the car work ']
